Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold (Liters)
INV-48603500073,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,"MAST-JAGERMEISTER US, INC",65257,12,313.56,12.0
INV-48606000154,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,brown forman corp.,89329,12,549.0,9.0
INV-48614900006,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,11294,3,38.22,1.12
INV-48630000020,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,CAMPARI AMERICA,64147,2,45.0,1.5
INV-48690400027,2022-06-27,HY-VEE #4 / WDM,50265,DIAGEO AMERICAS,37991,12,134.52,0.6
INV-48603500144,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,BROWN FORMAN CORP.,74801,12,286.44,9.0
INV-48606000017,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,dehner distillery,23981,24,158.16,24.0
INV-48606000039,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,25607,36,432.0,36.0
INV-48606600004,2022-06-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,5346,6,121.5,4.5
INV-48603500058,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,LUXCO INC,75087,24,180.0,24.0
INV-48704000005,2022-06-27,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,DIAGEO AMERICAS,43328,12,148.68,9.0
INV-48606600003,2022-06-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,E & J GALLO WINERY,4611,2,150.0,1.5
INV-48630000009,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,BACARDI USA INC,36964,1,30.0,0.05
INV-48606000012,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,campari america,22121,24,432.0,18.0
INV-48614900192,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,"mast-jagermeister us, inc",88371,6,134.46,4.5
INV-48614900015,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,proximo,15865,2,45.0,1.5
INV-48603500044,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,JIM BEAM BRANDS,20248,6,94.5,10.5
INV-48606600130,2022-06-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,"MAST-JAGERMEISTER US, INC",86139,6,191.88,4.5
INV-48609400002,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,78293,24,297.12,18.0
INV-48614900106,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,heaven hill brands,43078,2,34.5,3.5
INV-48603500029,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,HEAVEN HILL BRANDS,88018,12,225.0,9.0
INV-48603500067,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,MCCORMICK DISTILLING CO.,36908,6,71.94,10.5
INV-48630000066,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,LUXCO INC,89388,3,67.5,5.25
INV-48614900014,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,proximo,15830,2,42.0,1.5
INV-48606000069,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,remy cointreau usa inc,42666,12,215.64,9.0
INV-48690400095,2022-06-27,HY-VEE #4 / WDM,50265,PERNOD RICARD USA,34008,,179.94,10.5
INV-48614900156,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac company  inc,64870,,64.8,4.8
INV-48603500024,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,E & J GALLO WINERY,52563,4,49.44,3.0
INV-48606000166,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,43127,60,855.0,60.0
